x,y,layer1,layer2,voltage1,voltage2,current
5636.64,2548.4,LAYER_1,LAYER_2,0.00132395,0.0013238,0.000182015
5636.64,2548.4,LAYER_2,BOTTOM_LAYER,0.0013238,0.0013238,-0
5673.06,2412.57,TOP_LAYER,LAYER_1,11.9696,11.9696,-0
5673.06,2412.57,LAYER_1,LAYER_2,11.9696,11.9696,-2.17869e-12
5673.06,2412.57,LAYER_2,BOTTOM_LAYER,11.9696,11.9696,-0
5707.5,2548.4,TOP_LAYER,LAYER_1,0.00131971,0.00131974,-0.000177497
5707.5,2548.4,LAYER_1,LAYER_2,0.00131974,0.00131988,-0.000177497
5707.5,2548.4,LAYER_2,BOTTOM_LAYER,0.00131988,0.00131988,-0
5718.34,2198,TOP_LAYER,LAYER_1,0.00132945,0.0013293,0.000956966
5718.34,2198,LAYER_1,LAYER_2,0.0013293,0.00132852,0.000956966
5718.34,2198,LAYER_2,BOTTOM_LAYER,0.00132852,0.00132852,-0
5719.32,2222.61,TOP_LAYER,LAYER_1,0.0013294,0.00132918,0.00150973
5719.32,2222.61,LAYER_1,LAYER_2,0.00132918,0.00132795,0.00150973
5719.32,2222.61,LAYER_2,BOTTOM_LAYER,0.00132795,0.00132795,-0
5734.08,1939.15,TOP_LAYER,LAYER_1,11.8073,11.8073,-0
5734.08,1939.15,LAYER_1,LAYER_2,11.8073,11.8073,8.71476e-12
5734.08,1939.15,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,1.19485e-11
5735.07,1968.67,TOP_LAYER,LAYER_1,11.8073,11.8073,1.19485e-11
5735.07,1968.67,LAYER_1,LAYER_2,11.8073,11.8073,8.71476e-12
5735.07,1968.67,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,-0
5737.04,1765.67,TOP_LAYER,LAYER_1,11.8073,11.8073,0.00581189
5737.04,1765.67,LAYER_1,LAYER_2,11.8073,11.8073,0.00581189
5737.04,1765.67,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,0.00581189
5750.82,2197.02,TOP_LAYER,LAYER_1,0.00132907,0.00132894,0.000841311
5750.82,2197.02,LAYER_1,LAYER_2,0.00132894,0.00132826,0.000841311
5750.82,2197.02,LAYER_2,BOTTOM_LAYER,0.00132826,0.00132826,-0
5751.8,2221.63,TOP_LAYER,LAYER_1,0.00132895,0.00132875,0.00134669
5751.8,2221.63,LAYER_1,LAYER_2,0.00132875,0.00132765,0.00134669
5751.8,2221.63,LAYER_2,BOTTOM_LAYER,0.00132765,0.00132765,-0
5759.67,1746.97,TOP_LAYER,LAYER_1,11.8073,11.8073,0.0049192
5759.67,1746.97,LAYER_1,LAYER_2,11.8073,11.8073,0.0049192
5759.67,1746.97,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,0.0049192
5778.37,1414.54,TOP_LAYER,LAYER_1,0.00135153,0.00135538,-0.0259144
5778.37,1414.54,LAYER_1,LAYER_2,0.00135538,0.00137651,-0.0259144
5778.37,1414.54,LAYER_2,BOTTOM_LAYER,0.00137651,0.00137651,-0
5778.37,2548.4,TOP_LAYER,LAYER_1,0.00131521,0.00131525,-0.000280512
5778.37,2548.4,LAYER_1,LAYER_2,0.00131525,0.00131548,-0.000280512
5778.37,2548.4,LAYER_2,BOTTOM_LAYER,0.00131548,0.00131548,-0
5780.34,1937.92,TOP_LAYER,LAYER_1,11.8073,11.8073,1.19485e-11
5780.34,1937.92,LAYER_1,LAYER_2,11.8073,11.8073,6.53607e-12
5780.34,1937.92,LAYER_2,BOTTOM_LAYER,11.8073,11.8073,1.19485e-11
