x,y,layer1,layer2,voltage1,voltage2,current
5778.37,1414.54,LAYER_1,LAYER_2,0.0010336,0.00103281,0.000964618
5778.37,1414.54,LAYER_2,BOTTOM_LAYER,0.00103281,0.00103253,0.00187825
5778.37,2548.4,TOP_LAYER,LAYER_1,0.00122053,0.00122121,-0.00457868
5778.37,2548.4,LAYER_1,LAYER_2,0.00122121,0.00122058,0.000780677
5778.37,2548.4,LAYER_2,BOTTOM_LAYER,0.00122058,0.00122034,0.00157286
5780.34,1937.92,TOP_LAYER,LAYER_1,11.7661,11.7661,-0
5780.34,1937.92,LAYER_1,LAYER_2,11.7661,11.7661,-2.17869e-12
5780.34,1937.92,LAYER_2,BOTTOM_LAYER,11.7661,11.7661,-0
5780.34,1968.43,TOP_LAYER,LAYER_1,11.7661,11.7661,-0
5780.34,1968.43,LAYER_1,LAYER_2,11.7661,11.7661,6.53607e-12
5780.34,1968.43,LAYER_2,BOTTOM_LAYER,11.7661,11.7661,-0
5782.31,1765.67,TOP_LAYER,LAYER_1,11.766,11.766,-0.0107311
5782.31,1765.67,LAYER_1,LAYER_2,11.766,11.766,-0.0107311
5782.31,1765.67,LAYER_2,BOTTOM_LAYER,11.766,11.766,-0.0107311
5841.3,1130.36,TOP_LAYER,LAYER_1,11.7603,11.7603,7.09633e-11
5841.3,1130.36,LAYER_1,LAYER_2,11.7603,11.7603,6.46973e-11
5841.3,1130.36,LAYER_2,BOTTOM_LAYER,11.7603,11.7603,1.41926e-10
5831.52,2609.42,TOP_LAYER,LAYER_1,0.00121394,0.00121408,-0.000931551
5831.52,2609.42,LAYER_1,LAYER_2,0.00121408,0.00121436,-0.000340604
5831.52,2609.42,LAYER_2,BOTTOM_LAYER,0.00121436,0.00121423,0.000910915
5849.24,1556.27,TOP_LAYER,LAYER_1,0.00101158,0.00101729,-0.0384386
5849.24,1556.27,LAYER_1,LAYER_2,0.00101729,0.00102259,-0.00649778
5849.24,1556.27,LAYER_2,BOTTOM_LAYER,0.00102259,0.00102279,-0.00135974
5866.96,2216.7,TOP_LAYER,LAYER_1,11.9415,11.942,-3.02789
5866.96,2216.7,LAYER_1,LAYER_2,11.942,11.9445,-3.02789
5866.96,2216.7,LAYER_2,BOTTOM_LAYER,11.9445,11.9445,-0
5884.67,1343.67,TOP_LAYER,LAYER_1,0.00101909,0.00102546,-0.0428325
5884.67,1343.67,LAYER_1,LAYER_2,0.00102546,0.00101818,0.00892865
5884.67,1343.67,LAYER_2,BOTTOM_LAYER,0.00101818,0.00101722,0.00642788
5899.85,2364.92,TOP_LAYER,LAYER_1,11.8674,11.8674,-3.70113e-11
5899.85,2364.92,LAYER_1,LAYER_2,11.8674,11.8674,-2.36203e-11
5899.85,2364.92,LAYER_2,BOTTOM_LAYER,11.8674,11.8674,-0
5900.42,2216.7,TOP_LAYER,LAYER_1,11.9409,11.9415,-4.15838
5900.42,2216.7,LAYER_1,LAYER_2,11.9415,11.9449,-4.15838
5900.42,2216.7,LAYER_2,BOTTOM_LAYER,11.9449,11.9449,-0
5920.1,1272.81,TOP_LAYER,LAYER_1,0.00105364,0.00104141,0.082209
5920.1,1272.81,LAYER_1,LAYER_2,0.00104141,0.00101205,0.0360096
5920.1,1272.81,LAYER_2,BOTTOM_LAYER,0.00101205,0.00100948,0.0173307
5920.1,1556.27,TOP_LAYER,LAYER_1,0.000994017,0.000996196,-0.0146585
5920.1,1556.27,LAYER_1,LAYER_2,0.000996196,0.000999736,-0.00434155
5920.1,1556.27,LAYER_2,BOTTOM_LAYER,0.000999736,0.000999921,-0.00123983
5920.1,1698,TOP_LAYER,LAYER_1,0.00100153,0.00100766,-0.0412177
5920.1,1698,LAYER_1,LAYER_2,0.00100766,0.00100976,-0.00257586
5920.1,1698,LAYER_2,BOTTOM_LAYER,0.00100976,0.00100877,0.00663093
5941.3,1130.36,TOP_LAYER,LAYER_1,0.0016871,0.00158819,3.95143
5941.3,1130.36,LAYER_1,LAYER_2,0.00158819,0.0013063,2.05333
5941.3,1130.36,LAYER_2,BOTTOM_LAYER,0.0013063,0.00128133,0.99756
5935.28,2449.56,TOP_LAYER,LAYER_1,11.8674,11.8674,-0
